Trait,DOI,Primary_classification,Secondary_classification
substrate attachment,10.1038/s41559-017-0426-x,morphology,mobility
substrate preference,10.1016/j.csr.2009.01.003,habitat,substrate
substrate preference,10.1111/gcb.12780,habitat,substrate
substrate preference,10.1111/fwb.12554,habitat,substrate
substrate preference,10.1046/j.1365-2427.2000.00535.x,habitat,substrate
substrate preference,unknown_17,habitat,substrate
substrate preference,10.1111/fwb.13233,habitat,substrate
substrate preferences,10.1111/fwb.12554,habitat,substrate
substratum,10.2478/s11756-014-0347-y,habitat,substrate
success of establishment,10.1016/j.biocon.2011.11.033,survival,survival
succulence index,10.1016/j.ecss.2015.05.023,morphology,desication tolerance
succulence of leaves or step,10.1111/1365-2435.12075,morphology,desication tolerance
suction index,10.1186/1471-2148-13-277,morphology,NA
sugar profile,10.1111/j.1472-4642.2009.00599.x,composition,sugars
support fraction,10.1556/ComEc.14.2013.1.4,resource acquisition,photosynthetic rate
survival,10.1002/ecs2.2125,survival,survival
survival,10.1002/ecy.2179,survival,survival
survival of dry period,10.1111/1365-2656.12838,survival,survival
survival of dry period,10.1002/ece3.1084,survival,survival
survival rate,10.1007/s00442-010-1833-8,survival,survival
survival rate,10.1023/A:1008991021305,survival,survival
survival rates,10.3354/meps09086,survival,survival
survivorship,10.1371/journal.pone.0107525,survival,survival
survivorship year to year,10.2307/2937081,survival,survival
susceptibility to insecticide,10.1111/j.1365-2656.2010.01666.x,survival,insecticide
susceptibility to predation,10.2307/2937081,survival,predation
susceptible to pathogens,10.1111/j.1472-4642.2007.00381.x,survival,pathogens
susceptible to pests,10.1111/j.1472-4642.2007.00381.x,survival,pests
sustainable swimming speed,10.1111/1365-2656.12218,morphology,mobility
SVMP activity,10.1098/rspb.2015.2841,morphology,defense
swim factor,10.1007/s11160-017-9479-9,morphology,mobility
swim factor,unknown_17,morphology,mobility
swimming ability,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,morphology,mobility
swimming antennae length ratio to body size,10.1007/s10750-017-3199-y,morphology,antennae
swimming capacity,10.1111/jfb.12177,morphology,mobility
swimming factor,10.2307/1941217,morphology,mobility
swimming mode,10.1046/j.1365-2427.2002.01002.x,morphology,mobility
swimming speed,10.1080/13658816.2013.861465,morphology,mobility
swimming type,10.1111/ecog.03782,morphology,mobility
symbiotic zooxanthellae associations,10.1111/j.1461-0248.2012.01861.x,resource acquisition,mutualism
synchronization of adult mergernce,10.1111/j.1365-2656.2010.01660.x,life history,reproductive timing
synchronization of emergence,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,life history,emergence
synchronization of juvenile development,10.1111/j.1365-2656.2010.01660.x,growth,development
tail compression index,unknown_9,morphology,tail traits
tail length,10.1002/ece3.908,morphology,tail traits
tail length,10.1371/journal.pone.0163338,morphology,tail traits
tail length,10.1890/14-1731.1.sm,morphology,tail traits
tail length,10.1111/oik.04561,morphology,tail traits
tail length,10.1111/ecog.00623,morphology,tail traits
tail length,10.1098/rsos.160957,morphology,tail traits
tail length,10.1017/S0952836900001084,morphology,tail traits
tail length,10.1111/geb.12003,morphology,tail traits
tail:body ratio,10.1002/ece3.3613,morphology,tail traits
Taiwan resident genus,10.7717/peerj.3092,habitat,NA
target family,unknown_10,resource acquisition,parasite traits
target order,unknown_10,resource acquisition,parasite traits
target system,unknown_10,resource acquisition,parasite traits
tarsus,10.1371/journal.pone.0163338,morphology,bone length/shape
tarsus,10.1111/oik.04561,morphology,bone length/shape
tarsus and bill length,10.1007/s10682-018-9945-4,morphology,bone length/shape
tarsus length,10.1890/14-1731.1.sm,morphology,bone length/shape
tarsus length,10.1111/jeb.12717,morphology,bone length/shape
tarsus length,10.1186/2193-1801-3-630,morphology,bone length/shape
tarsus length,10.1111/ecog.00623,morphology,bone length/shape
tarsus length,10.1371/journal.pone.0090437,morphology,bone length/shape
taxa group,10.1073/pnas.1015178108,resource acquisition,parasite traits
temp preference,10.1111/geb.12475,resource acquisition,temperature tolerance
temperature for growth,10.1111/geb.12167,resource acquisition,temperature tolerance
temperature preferences,10.1111/fwb.12554,resource acquisition,temperature tolerance
tensile strength,10.1111/1365-2745.12012,morphology,strength
terminal leaf area ratio,10.1556/ComEc.14.2013.1.4,morphology,leaf area
terminal velocity,10.1111/j.1600-0706.2013.00979.x,morphology,mobility
terminal velocity,10.1111/jvs.12375,morphology,mobility
terminal velocity,10.1007/s00442-011-1980-6,morphology,mobility
terrestrial ancestors,10.2307/1467813,habitat,NA
terrestriality,10.1002/ajp.22374,habitat,NA
territoriality,10.1111/jav.01745,resource acquisition,competitive ability
territory density,10.1007/BF00133308,resource acquisition,competitive ability
territory size,10.1111/jav.01745,resource acquisition,competitive ability
territory size,10.1371/journal.pone.0090437,resource acquisition,competitive ability
territory size,10.1007/BF00133308,resource acquisition,competitive ability
the dimensionality of flowers,10.1890/14-0024.1,morphology,reproductive structure
the number of generations per year,10.1007/s00442-014-2917-7,life history,reproductive timing
the number of invaded countries: Invcountry_Max,10.7717/peerj.3092,habitat,NA
the number of subspecies,10.7717/peerj.3092,resource acquisition,niche space
the way of egg deposition,10.1007/s00442-014-2917-7,life history,reproductive mode
thermal time for 50% germination,10.1111/brv.12461,resource acquisition,temperature tolerance
thermal tolerance,10.1016/j.scitotenv.2016.04.193,resource acquisition,temperature tolerance
thermal tolerance,10.1016/S0065-2881(09)56004-X,resource acquisition,temperature tolerance
thermal tolerance,10.1098/rspb.2017.1405,resource acquisition,temperature tolerance
thermal tolerance,10.1111/gcb.13016,resource acquisition,temperature tolerance
thermal tolerance,10.1111/1752-1688.12650,resource acquisition,temperature tolerance
thermal tolerance,10.1111/j.1365-2427.2007.01736.x,resource acquisition,temperature tolerance
thermal tolerance,10.1098/rspb.2017.1942,resource acquisition,temperature tolerance
thermal tolerance,10.1098/rsos.140541,resource acquisition,temperature tolerance
thermal tolerance,10.1007/s10750-017-3208-1,resource acquisition,temperature tolerance
thermal tolerance,10.1111/ele.13235,resource acquisition,temperature tolerance
thermal tolerance,10.1007/s00442-017-4053-7,resource acquisition,temperature tolerance
thermal tolerance,10.1111/ele.12081,resource acquisition,temperature tolerance
thermal tolerance,10.1046/j.1365-2427.2000.00535.x,resource acquisition,temperature tolerance
thermal tolerance,10.1002/eap.1621,resource acquisition,temperature tolerance
thermal tolerance,10.1111/ddi.12747,resource acquisition,temperature tolerance
thermal tolerance,10.1007/s11160-017-9479-9,resource acquisition,temperature tolerance
thermal tolerance,10.1111/fwb.12554,resource acquisition,temperature tolerance
thermal tolerance,10.1093/forestry/cpw018,resource acquisition,temperature tolerance
thermal tolerance,10.1002/ece3.263,resource acquisition,temperature tolerance
thermal tolerance,10.1111/1365-2656.12838,resource acquisition,temperature tolerance
thermal tolerance,10.1111/j.0906-7590.2008.05457.x,resource acquisition,temperature tolerance
thermal tolerance,10.1111/gcb.13835,resource acquisition,temperature tolerance
thermal tolerance,unknown_30,resource acquisition,temperature tolerance
thermal tolerance,unknown_2,resource acquisition,temperature tolerance
thermal tolerance,10.1371/journal.pone.0107525,resource acquisition,temperature tolerance
thermal tolerance,10.1111/1365-2656.12829,resource acquisition,temperature tolerance
thermal tolerance,10.1371/journal.pone.0081739,resource acquisition,temperature tolerance
thermal tolerance,10.7717/peerj.5038,resource acquisition,temperature tolerance
thermal tolerance,10.1111/geb.12637,resource acquisition,temperature tolerance
thermal tolerance,10.1016/j.tree.2015.09.006,resource acquisition,temperature tolerance
thermal tolerance,10.1111/1365-2656.12718,resource acquisition,temperature tolerance
thermal tolerance,10.1016/j.ecolind.20.17.05.066,resource acquisition,temperature tolerance
thermal tolerance,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,resource acquisition,temperature tolerance
thickness and tissue density,10.1111/j.1365-2745.2012.01965.x,morphology,tissue density
thorax length,10.7717/peerj.1410,morphology,size
thornines,10.1016/j.actao.2016.06.003,morphology,defense
thousand-seed weight,10.1016/j.ecoleng.2015.11.001,life history,offspring size
tibia,10.1111/j.1095-8312.2007.00909.x,morphology,bone length/shape
tibia fibula/hindlimb ratio,10.1111/aec.12607,morphology,bone length/shape
tidal emersion/low salinity tolerance,10.7717/peerj.5038,resource acquisition,salinity tolerance
time in the middle of the tank,10.1002/ece3.1395,habitat,NA
time of first flowering,10.1614/WS-09-096.1,life history,reproductive timing
time spent outside of refuge,10.1002/ece3.1395,activity,predator avoidance
time to 50% germination,10.1111/brv.12461,growth,NA
time to consume new food,10.1111/j.1365-2656.2007.01284.x,resource acquisition,consumption rate
time to consume new food,10.1016/j.anbehav.2009.11.024,resource acquisition,consumption rate
time to maturity,10.1111/j.1365-2664.2006.001175.x,life history,age/size at maturity
time to max speed,10.1007/s00442-010-1712-3,morphology,mobility
time when active,10.1111/gcb.14119,activity,NA
timing of foraging season,10.1111/ecog.02632,resource acquisition,feeding mode
timing of life stage,10.1098/rspb.2011.1371,life history,stage
tissue concentrations of N,10.1111/j.1466-8238.2010.00623.x,composition,nitrogen
tissue density,10.1111/j.1365-2486.2009.01905.x,composition,tissue density
toepad characteristics,10.1111/geb.12003,morphology,mobility
tolerance to organic matter enrichment,10.1016/j.marpolbul.2007.10.019,habitat,pollution tolerance
tolerance to silt,10.2307/1941217,habitat,pollution tolerance
tolerance to variation in humidity,10.1111/j.1365-2427.1994.tb01755.x,resource acquisition,desication tolerance
tongue length,10.1111/oik.04507,morphology,mouth
tooth length lower,10.1111/1365-2435.12838,morphology,teeth traits
tooth length upper,10.1111/1365-2435.12838,morphology,teeth traits
tooth shape,10.1111/1365-2435.12838,morphology,teeth traits
tooth thickness,10.1111/1365-2435.12838,morphology,teeth traits
topographic heterogeneity,10.1111/jbi.12808,habitat,NA
total aboveground biomass,10.1890/05-0219,abundance,biomass
total body mass,10.1016/j.limno.2015.10.005,morphology,size
total carotenoids,10.1556/ComEc.14.2013.1.4,composition,NA
total chlorophyll,10.1556/ComEc.14.2013.1.4,composition,chlorophyll
total distance,10.1371/journal.pone.0041323,activity,movement
total distance moved,10.1002/ece3.1395,activity,flight traits
total flying time,10.1371/journal.pone.0041323,activity,NA
total height,10.1139/cjfr-2017-0139,morphology,size
total leaf area,10.1111/j.1654-1103.2011.01384.x,morphology,leaf area
total leaf area of a twig:twig cross-sectional area,10.1111/j.1654-1103.2011.01384.x,morphology,leaf area
total leaf N concentration,10.1007/s11104-018-3816-1,composition,nitrogen
total length,10.1007/s00442-010-1833-8,morphology,size
total length,10.1016/j.limno.2015.10.005,morphology,size
total longevity,10.1111/j.1365-2427.1994.tb01756.x,life history,life span
total phenolics,10.1111/ele.12532,composition,phenolics
total secondary metabolite richness,10.1007/s00442-018-4162-y,composition,NA
total seed mass,10.1111/plb.12566,life history,offspring size
total sugars,10.1111/j.1472-4642.2009.00599.x,composition,sugars
total volume of tangle webbing,10.1002/ecs2.2101,activity,web building
toughness,10.1007/s12080-014-0229-5,morphology,strength
toughness,10.1111/j.1654-1103.2012.01424.x,morphology,strength
toughness,10.1111/oik.04712,morphology,strength
toxin production,unknown_30,morphology,defense
track length,10.1002/ece3.1395,activity,movement
trajectory in the drift,unknown_23,activity,dispersal
trajectory on the bottom substrate,unknown_23,habitat,substrate
transient probability,10.1111/j.1365-2656.2012.02015.x,activity,dispersal
transmission coefficient of the opercular four-bar,10.1186/1471-2148-13-277,morphology,NA
transparency,10.1186/1471-2148-10-166,morphology,coloration
transparency,10.2307/1543609,morphology,coloration
transpiration rate,10.1002/ece3.1286,resource acquisition,desication tolerance
transversal distribution,10.1002/eap.1621,habitat,NA
transversal distribution,10.1046/j.1365-2427.2000.00535.x,habitat,NA
tree cavities,10.3389/fevo.2017.00084,habitat,breeding habitat
tree guild,10.1556/168.2016.17.1.11,morphology,niche space
tree height,10.1111/gcb.12604,morphology,size
tree size,10.1016/j.actao.2016.10.007,morphology,size
trend toward terrestialisation known for some immature stages,10.2307/1467813,habitat,NA
trichome density,10.1111/ele.12532,morphology,hair
trichome density,10.1111/j.1654-1103.2012.01424.x,morphology,hair
trichome density,10.1890/05-0219,morphology,hair
trichomes,10.1007/s00442-015-3295-5,morphology,hair
trophi shape,10.1093/plankt/fbr111,morphology,NA
Trophic Breadth,10.1007/s10750-017-3208-1,resource acquisition,diet
trophic group,10.1073/pnas.1015178108,resource acquisition,diet
trophic group,10.1111/oik.01544,resource acquisition,diet
trophic group,10.1111/1365-2664.12493,resource acquisition,diet
trophic guild,10.3390/w10020108,resource acquisition,diet
trophic guild,10.1111/oik.00707,resource acquisition,diet
trophic guild,unknown_17,resource acquisition,diet
trophic guild,10.1007/s10750-018-3697-6,resource acquisition,diet
trophic guild,10.1890/14-1731.1.sm,resource acquisition,diet
trophic guild,10.1111/ddi.12785,resource acquisition,diet
trophic guild,10.1111/eff.12333,resource acquisition,diet
trophic guild,10.1111/jfb.12177,resource acquisition,diet
trophic guild,10.1111/ecog.02968,resource acquisition,diet
trophic guild,10.1111/1365-2664.12490,resource acquisition,diet
trophic guild,10.1023/B:BIOC.0000004319.91643.9e,resource acquisition,diet
trophic guild,10.1371/journal.pone.0081739,resource acquisition,diet
trophic guild,10.1080/17550874.2017.1345997,resource acquisition,diet
trophic guild,10.1016/j.gecco.2016.01.004,resource acquisition,diet
trophic guild,10.2307/1941217,resource acquisition,diet
trophic guild,10.1002/eap.1621,resource acquisition,diet
trophic guild,10.1016/B978-0-12-386475-8.00005-8,resource acquisition,diet
trophic guild,10.1111/fwb.12966,resource acquisition,diet
trophic guild,10.1111/1365-2664.12022,resource acquisition,diet
trophic guild,10.1046/j.1523-1739.2002.02283.x,resource acquisition,diet
trophic guild,10.1007/s10750-015-2191-7,resource acquisition,diet
trophic guild,10.1007/s10980-012-9820-6,resource acquisition,diet
trophic guild,10.1890/ES12-00262.1,resource acquisition,diet
trophic guild,10.1007/s10841-011-9412-9,resource acquisition,diet
trophic guild,10.1111/j.1365-2699.2011.02502.x,resource acquisition,diet
trophic guild,10.3354/meps12165,resource acquisition,diet
trophic guild,10.1016/j.jtbi.2007.07.013,resource acquisition,diet
trophic guild,10.1111/fwb.12554,resource acquisition,diet
trophic guild,10.1371/journal.pbio.0020197,resource acquisition,diet
trophic guild,10.1007/s10750-017-3199-y,resource acquisition,diet
trophic guild,10.1098/rstb.2008.0286,resource acquisition,diet
trophic guild,10.1046/j.1365-2427.2000.00535.x,resource acquisition,diet
trophic guild,10.1016/j.ecss.2009.10.015,resource acquisition,diet
trophic guild,unknown_28,resource acquisition,diet
trophic guild,10.1098/rspb.2012.2131,resource acquisition,diet
trophic guild,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,resource acquisition,diet
